Call Type,Incident Number,Battalion,Station Area,Call Type Group,nodeID,parentID
Electrical Hazard,252,B07,14,Alarm,Alarm.Electrical Hazard.B07,Alarm.Electrical Hazard
Medical Incident,6,B03,2,Non Life-threatening,Non Life-threatening.Medical Incident.B03,Non Life-threatening.Medical Incident
High Angle Rescue,10,B02,7,Fire,Fire.High Angle Rescue.B02,Fire.High Angle Rescue
Fuel Spill,43,B02,29,Alarm,Alarm.Fuel Spill.B02,Alarm.Fuel Spill
Traffic Collision,1,B99,44,Non Life-threatening,Non Life-threatening.Traffic Collision.B99,Non Life-threatening.Traffic Collision
Other,39,B03,1,Potentially Life-Threatening,Potentially Life-Threatening.Other.B03,Potentially Life-Threatening.Other
Traffic Collision,529,B03,29,Non Life-threatening,Non Life-threatening.Traffic Collision.B03,Non Life-threatening.Traffic Collision
Outside Fire,325,B06,32,Fire,Fire.Outside Fire.B06,Fire.Outside Fire
Mutual Aid / Assist Outside Agency,1,B08,40,Fire,Fire.Mutual Aid / Assist Outside Agency.B08,Fire.Mutual Aid / Assist Outside Agency
Structure Fire,806,B07,14,Fire,Fire.Structure Fire.B07,Fire.Structure Fire
Structure Fire,1191,B03,29,Alarm,Alarm.Structure Fire.B03,Alarm.Structure Fire
Traffic Collision,3,B99,5,Non Life-threatening,Non Life-threatening.Traffic Collision.B99,Non Life-threatening.Traffic Collision
Outside Fire,94,B06,24,Fire,Fire.Outside Fire.B06,Fire.Outside Fire
Smoke Investigation (Outside),169,B02,36,Alarm,Alarm.Smoke Investigation (Outside).B02,Alarm.Smoke Investigation (Outside)
Other,1,B05,10,Fire,Fire.Other.B05,Fire.Other
Other,207,B06,26,Alarm,Alarm.Other.B06,Alarm.Other
Assist Police,10,B02,7,Alarm,Alarm.Assist Police.B02,Alarm.Assist Police
HazMat,6,B06,9,Alarm,Alarm.HazMat.B06,Alarm.HazMat
Explosion,105,B03,1,Fire,Fire.Explosion.B03,Fire.Explosion
Other,632,B04,16,Alarm,Alarm.Other.B04,Alarm.Other
Structure Fire,12,B03,,Alarm,Alarm.Structure Fire.B03,Alarm.Structure Fire
Other,704,B01,28,Alarm,Alarm.Other.B01,Alarm.Other
Medical Incident,6,B02,28,Non Life-threatening,Non Life-threatening.Medical Incident.B02,Non Life-threatening.Medical Incident
Traffic Collision,2,B03,,Non Life-threatening,Non Life-threatening.Traffic Collision.B03,Non Life-threatening.Traffic Collision
"Extrication / Entrapped (Machinery, Vehicle)",3,B03,3,Fire,"Fire.Extrication / Entrapped (Machinery, Vehicle).B03","Fire.Extrication / Entrapped (Machinery, Vehicle)"
Medical Incident,5,B03,13,Alarm,Alarm.Medical Incident.B03,Alarm.Medical Incident
Electrical Hazard,11,B07,21,Alarm,Alarm.Electrical Hazard.B07,Alarm.Electrical Hazard
Citizen Assist / Service Call,1,B05,22,Alarm,Alarm.Citizen Assist / Service Call.B05,Alarm.Citizen Assist / Service Call
Structure Fire,1239,B07,31,Fire,Fire.Structure Fire.B07,Fire.Structure Fire
Medical Incident,2,B04,11,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B04,Potentially Life-Threatening.Medical Incident
Medical Incident,4871,B04,41,Non Life-threatening,Non Life-threatening.Medical Incident.B04,Non Life-threatening.Medical Incident
Structure Fire,117,B07,21,Fire,Fire.Structure Fire.B07,Fire.Structure Fire
Fuel Spill,31,B09,43,Alarm,Alarm.Fuel Spill.B09,Alarm.Fuel Spill
Train / Rail Incident,22,B09,15,Fire,Fire.Train / Rail Incident.B09,Fire.Train / Rail Incident
Smoke Investigation (Outside),4,B09,19,Alarm,Alarm.Smoke Investigation (Outside).B09,Alarm.Smoke Investigation (Outside)
Electrical Hazard,361,B07,31,Alarm,Alarm.Electrical Hazard.B07,Alarm.Electrical Hazard
Medical Incident,5,B06,17,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B06,Potentially Life-Threatening.Medical Incident
Gas Leak (Natural and LP Gases),345,B04,38,Alarm,Alarm.Gas Leak (Natural and LP Gases).B04,Alarm.Gas Leak (Natural and LP Gases)
Vehicle Fire,77,B06,26,Fire,Fire.Vehicle Fire.B06,Fire.Vehicle Fire
Citizen Assist / Service Call,441,B05,6,Alarm,Alarm.Citizen Assist / Service Call.B05,Alarm.Citizen Assist / Service Call
Industrial Accidents,9,B04,5,Fire,Fire.Industrial Accidents.B04,Fire.Industrial Accidents
Medical Incident,24,B09,15,Alarm,Alarm.Medical Incident.B09,Alarm.Medical Incident
Explosion,13,B09,33,Fire,Fire.Explosion.B09,Fire.Explosion
Medical Incident,43010,B04,3,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B04,Potentially Life-Threatening.Medical Incident
Traffic Collision,1320,B03,35,Non Life-threatening,Non Life-threatening.Traffic Collision.B03,Non Life-threatening.Traffic Collision
Medical Incident,60,B99,36,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B99,Potentially Life-Threatening.Medical Incident
Outside Fire,1,B05,12,Alarm,Alarm.Outside Fire.B05,Alarm.Outside Fire
Structure Fire,2447,B03,35,Alarm,Alarm.Structure Fire.B03,Alarm.Structure Fire
Assist Police,1,B99,3,Alarm,Alarm.Assist Police.B99,Alarm.Assist Police
Traffic Collision,29,B06,6,Potentially Life-Threatening,Potentially Life-Threatening.Traffic Collision.B06,Potentially Life-Threatening.Traffic Collision
Outside Fire,115,B08,39,Fire,Fire.Outside Fire.B08,Fire.Outside Fire
Vehicle Fire,109,B01,28,Fire,Fire.Vehicle Fire.B01,Fire.Vehicle Fire
Train / Rail Incident,282,B03,13,Fire,Fire.Train / Rail Incident.B03,Fire.Train / Rail Incident
Alarms,924,B09,39,Alarm,Alarm.Alarms.B09,Alarm.Alarms
Vehicle Fire,136,B04,16,Fire,Fire.Vehicle Fire.B04,Fire.Vehicle Fire
Other,34,B10,37,Non Life-threatening,Non Life-threatening.Other.B10,Non Life-threatening.Other
Odor (Strange / Unknown),30,B03,35,Alarm,Alarm.Odor (Strange / Unknown).B03,Alarm.Odor (Strange / Unknown)
Vehicle Fire,135,B02,7,Fire,Fire.Vehicle Fire.B02,Fire.Vehicle Fire
Medical Incident,5,B07,7,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B07,Potentially Life-Threatening.Medical Incident
Other,4,B08,31,Alarm,Alarm.Other.B08,Alarm.Other
Other,7,B99,3,Alarm,Alarm.Other.B99,Alarm.Other
Other,3,B04,36,Alarm,Alarm.Other.B04,Alarm.Other
Outside Fire,225,B03,8,Alarm,Alarm.Outside Fire.B03,Alarm.Outside Fire
Medical Incident,23561,B05,21,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B05,Potentially Life-Threatening.Medical Incident
Citizen Assist / Service Call,1593,B03,1,Alarm,Alarm.Citizen Assist / Service Call.B03,Alarm.Citizen Assist / Service Call
Medical Incident,1357,B09,39,Non Life-threatening,Non Life-threatening.Medical Incident.B09,Non Life-threatening.Medical Incident
Electrical Hazard,2,B10,,Alarm,Alarm.Electrical Hazard.B10,Alarm.Electrical Hazard
Medical Incident,5,B05,31,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B05,Potentially Life-Threatening.Medical Incident
Vehicle Fire,2,B08,14,Fire,Fire.Vehicle Fire.B08,Fire.Vehicle Fire
Traffic Collision,13,B99,1,Non Life-threatening,Non Life-threatening.Traffic Collision.B99,Non Life-threatening.Traffic Collision
Structure Fire,61,B10,29,Fire,Fire.Structure Fire.B10,Fire.Structure Fire
Odor (Strange / Unknown),3,B07,31,Fire,Fire.Odor (Strange / Unknown).B07,Fire.Odor (Strange / Unknown)
Electrical Hazard,6,B10,29,Alarm,Alarm.Electrical Hazard.B10,Alarm.Electrical Hazard
Other,3,B99,11,Alarm,Alarm.Other.B99,Alarm.Other
Alarms,2411,B04,41,Alarm,Alarm.Alarms.B04,Alarm.Alarms
Medical Incident,1,B99,48,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B99,Potentially Life-Threatening.Medical Incident
Medical Incident,1,B03,51,Non Life-threatening,Non Life-threatening.Medical Incident.B03,Non Life-threatening.Medical Incident
Vehicle Fire,3,B99,3,Fire,Fire.Vehicle Fire.B99,Fire.Vehicle Fire
Fuel Spill,43,B10,9,Alarm,Alarm.Fuel Spill.B10,Alarm.Fuel Spill
Other,414,B02,7,Alarm,Alarm.Other.B02,Alarm.Other
Medical Incident,4,B01,7,Non Life-threatening,Non Life-threatening.Medical Incident.B01,Non Life-threatening.Medical Incident
Assist Police,6,B06,26,Alarm,Alarm.Assist Police.B06,Alarm.Assist Police
Medical Incident,41,B08,22,Alarm,Alarm.Medical Incident.B08,Alarm.Medical Incident
"Extrication / Entrapped (Machinery, Vehicle)",14,B10,25,Fire,"Fire.Extrication / Entrapped (Machinery, Vehicle).B10","Fire.Extrication / Entrapped (Machinery, Vehicle)"
Assist Police,8,B04,16,Alarm,Alarm.Assist Police.B04,Alarm.Assist Police
Smoke Investigation (Outside),13,B03,37,Alarm,Alarm.Smoke Investigation (Outside).B03,Alarm.Smoke Investigation (Outside)
Medical Incident,7,B06,3,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B06,Potentially Life-Threatening.Medical Incident
Smoke Investigation (Outside),120,B06,7,Alarm,Alarm.Smoke Investigation (Outside).B06,Alarm.Smoke Investigation (Outside)
Medical Incident,172,B99,16,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B99,Potentially Life-Threatening.Medical Incident
Smoke Investigation (Outside),30,B09,26,Alarm,Alarm.Smoke Investigation (Outside).B09,Alarm.Smoke Investigation (Outside)
Fuel Spill,1,B07,12,Alarm,Alarm.Fuel Spill.B07,Alarm.Fuel Spill
Assist Police,15,B01,28,Alarm,Alarm.Assist Police.B01,Alarm.Assist Police
Citizen Assist / Service Call,517,B09,33,Alarm,Alarm.Citizen Assist / Service Call.B09,Alarm.Citizen Assist / Service Call
Medical Incident,2,B04,17,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B04,Potentially Life-Threatening.Medical Incident
Explosion,6,B05,6,Fire,Fire.Explosion.B05,Fire.Explosion
High Angle Rescue,14,B01,28,Fire,Fire.High Angle Rescue.B01,Fire.High Angle Rescue
Traffic Collision,671,B05,12,Potentially Life-Threatening,Potentially Life-Threatening.Traffic Collision.B05,Potentially Life-Threatening.Traffic Collision
Suspicious Package,3,B07,31,Fire,Fire.Suspicious Package.B07,Fire.Suspicious Package
Medical Incident,23011,B06,11,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B06,Potentially Life-Threatening.Medical Incident
Medical Incident,4,B08,9,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B08,Potentially Life-Threatening.Medical Incident
Odor (Strange / Unknown),1,B07,14,Fire,Fire.Odor (Strange / Unknown).B07,Fire.Odor (Strange / Unknown)
Traffic Collision,29,B05,20,Potentially Life-Threatening,Potentially Life-Threatening.Traffic Collision.B05,Potentially Life-Threatening.Traffic Collision
Odor (Strange / Unknown),13,B03,29,Alarm,Alarm.Odor (Strange / Unknown).B03,Alarm.Odor (Strange / Unknown)
Medical Incident,2,B99,19,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B99,Potentially Life-Threatening.Medical Incident
Medical Incident,2,B04,34,Non Life-threatening,Non Life-threatening.Medical Incident.B04,Non Life-threatening.Medical Incident
Other,51,B08,23,Non Life-threatening,Non Life-threatening.Other.B08,Non Life-threatening.Other
Smoke Investigation (Outside),125,B01,41,Alarm,Alarm.Smoke Investigation (Outside).B01,Alarm.Smoke Investigation (Outside)
Citizen Assist / Service Call,1,B06,20,Alarm,Alarm.Citizen Assist / Service Call.B06,Alarm.Citizen Assist / Service Call
Other,39,B05,6,Potentially Life-Threatening,Potentially Life-Threatening.Other.B05,Potentially Life-Threatening.Other
Traffic Collision,55,B04,51,Potentially Life-Threatening,Potentially Life-Threatening.Traffic Collision.B04,Potentially Life-Threatening.Traffic Collision
Vehicle Fire,2,B03,44,Fire,Fire.Vehicle Fire.B03,Fire.Vehicle Fire
Explosion,13,B02,7,Fire,Fire.Explosion.B02,Fire.Explosion
Medical Incident,8,B06,11,Alarm,Alarm.Medical Incident.B06,Alarm.Medical Incident
Medical Incident,6850,B05,5,Non Life-threatening,Non Life-threatening.Medical Incident.B05,Non Life-threatening.Medical Incident
Electrical Hazard,26,B01,1,Alarm,Alarm.Electrical Hazard.B01,Alarm.Electrical Hazard
Medical Incident,5,B08,6,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B08,Potentially Life-Threatening.Medical Incident
Citizen Assist / Service Call,1,B01,39,Alarm,Alarm.Citizen Assist / Service Call.B01,Alarm.Citizen Assist / Service Call
Elevator / Escalator Rescue,413,B02,36,Alarm,Alarm.Elevator / Escalator Rescue.B02,Alarm.Elevator / Escalator Rescue
Industrial Accidents,14,B10,47,Fire,Fire.Industrial Accidents.B10,Fire.Industrial Accidents
Other,531,B05,6,Alarm,Alarm.Other.B05,Alarm.Other
Assist Police,23,B03,1,Alarm,Alarm.Assist Police.B03,Alarm.Assist Police
Outside Fire,1,B06,9,Alarm,Alarm.Outside Fire.B06,Alarm.Outside Fire
Medical Incident,5,B06,29,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B06,Potentially Life-Threatening.Medical Incident
Structure Fire,193,B01,1,Fire,Fire.Structure Fire.B01,Fire.Structure Fire
Marine Fire,3,B99,51,Fire,Fire.Marine Fire.B99,Fire.Marine Fire
Other,37,B02,7,Potentially Life-Threatening,Potentially Life-Threatening.Other.B02,Potentially Life-Threatening.Other
Suspicious Package,3,B02,6,Fire,Fire.Suspicious Package.B02,Fire.Suspicious Package
High Angle Rescue,4,B03,1,Fire,Fire.High Angle Rescue.B03,Fire.High Angle Rescue
Medical Incident,15018,B08,22,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B08,Potentially Life-Threatening.Medical Incident
Traffic Collision,6,B08,34,Non Life-threatening,Non Life-threatening.Traffic Collision.B08,Non Life-threatening.Traffic Collision
Medical Incident,671,B10,32,Non Life-threatening,Non Life-threatening.Medical Incident.B10,Non Life-threatening.Medical Incident
Other,1,B99,35,Alarm,Alarm.Other.B99,Alarm.Other
HazMat,10,B06,32,Fire,Fire.HazMat.B06,Fire.HazMat
Traffic Collision,770,B10,25,Non Life-threatening,Non Life-threatening.Traffic Collision.B10,Non Life-threatening.Traffic Collision
Odor (Strange / Unknown),21,B03,3,Alarm,Alarm.Odor (Strange / Unknown).B03,Alarm.Odor (Strange / Unknown)
Medical Incident,66,B06,,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B06,Potentially Life-Threatening.Medical Incident
Structure Fire,2227,B10,25,Alarm,Alarm.Structure Fire.B10,Alarm.Structure Fire
Train / Rail Incident,7,B06,11,Fire,Fire.Train / Rail Incident.B06,Fire.Train / Rail Incident
HazMat,33,B05,12,Alarm,Alarm.HazMat.B05,Alarm.HazMat
Industrial Accidents,12,B03,48,Fire,Fire.Industrial Accidents.B03,Fire.Industrial Accidents
Other,4,B99,29,Alarm,Alarm.Other.B99,Alarm.Other
Other,4,B02,33,Alarm,Alarm.Other.B02,Alarm.Other
Citizen Assist / Service Call,838,B04,16,Alarm,Alarm.Citizen Assist / Service Call.B04,Alarm.Citizen Assist / Service Call
Assist Police,10,B09,33,Alarm,Alarm.Assist Police.B09,Alarm.Assist Police
Other,3,B03,44,Alarm,Alarm.Other.B03,Alarm.Other
Citizen Assist / Service Call,722,B01,28,Alarm,Alarm.Citizen Assist / Service Call.B01,Alarm.Citizen Assist / Service Call
Traffic Collision,3,B05,36,Potentially Life-Threatening,Potentially Life-Threatening.Traffic Collision.B05,Potentially Life-Threatening.Traffic Collision
Other,2,B03,42,Alarm,Alarm.Other.B03,Alarm.Other
HazMat,2,B08,39,Fire,Fire.HazMat.B08,Fire.HazMat
Medical Incident,7601,B08,18,Non Life-threatening,Non Life-threatening.Medical Incident.B08,Non Life-threatening.Medical Incident
Citizen Assist / Service Call,483,B06,26,Alarm,Alarm.Citizen Assist / Service Call.B06,Alarm.Citizen Assist / Service Call
Vehicle Fire,93,B05,6,Fire,Fire.Vehicle Fire.B05,Fire.Vehicle Fire
Other,4,B99,,Alarm,Alarm.Other.B99,Alarm.Other
Outside Fire,91,B04,10,Fire,Fire.Outside Fire.B04,Fire.Outside Fire
Medical Incident,40,B05,21,Alarm,Alarm.Medical Incident.B05,Alarm.Medical Incident
Medical Incident,4,B02,15,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B02,Potentially Life-Threatening.Medical Incident
Alarms,3,B05,1,Alarm,Alarm.Alarms.B05,Alarm.Alarms
Alarms,1641,B08,40,Alarm,Alarm.Alarms.B08,Alarm.Alarms
Water Rescue,13,B01,16,Fire,Fire.Water Rescue.B01,Fire.Water Rescue
Suspicious Package,1,B10,17,Fire,Fire.Suspicious Package.B10,Fire.Suspicious Package
Traffic Collision,5,B02,32,Non Life-threatening,Non Life-threatening.Traffic Collision.B02,Non Life-threatening.Traffic Collision
Odor (Strange / Unknown),25,B09,32,Alarm,Alarm.Odor (Strange / Unknown).B09,Alarm.Odor (Strange / Unknown)
Water Rescue,474,B04,28,Fire,Fire.Water Rescue.B04,Fire.Water Rescue
Other,3,B03,5,Alarm,Alarm.Other.B03,Alarm.Other
Medical Incident,72,B04,,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B04,Potentially Life-Threatening.Medical Incident
Medical Incident,32,B04,3,Alarm,Alarm.Medical Incident.B04,Alarm.Medical Incident
Gas Leak (Natural and LP Gases),32,B01,16,Alarm,Alarm.Gas Leak (Natural and LP Gases).B01,Alarm.Gas Leak (Natural and LP Gases)
"Extrication / Entrapped (Machinery, Vehicle)",19,B03,35,Fire,"Fire.Extrication / Entrapped (Machinery, Vehicle).B03","Fire.Extrication / Entrapped (Machinery, Vehicle)"
Medical Incident,6148,B08,40,Non Life-threatening,Non Life-threatening.Medical Incident.B08,Non Life-threatening.Medical Incident
Medical Incident,2,B05,1,Non Life-threatening,Non Life-threatening.Medical Incident.B05,Non Life-threatening.Medical Incident
Other,6,B06,20,Alarm,Alarm.Other.B06,Alarm.Other
Structure Fire,583,B02,6,Fire,Fire.Structure Fire.B02,Fire.Structure Fire
Gas Leak (Natural and LP Gases),6,B04,28,Alarm,Alarm.Gas Leak (Natural and LP Gases).B04,Alarm.Gas Leak (Natural and LP Gases)
Medical Incident,18190,B09,15,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B09,Potentially Life-Threatening.Medical Incident
Traffic Collision,337,B06,9,Potentially Life-Threatening,Potentially Life-Threatening.Traffic Collision.B06,Potentially Life-Threatening.Traffic Collision
Traffic Collision,682,B09,32,Non Life-threatening,Non Life-threatening.Traffic Collision.B09,Non Life-threatening.Traffic Collision
Electrical Hazard,111,B02,6,Alarm,Alarm.Electrical Hazard.B02,Alarm.Electrical Hazard
Structure Fire,903,B09,32,Alarm,Alarm.Structure Fire.B09,Alarm.Structure Fire
HazMat,33,B03,8,Alarm,Alarm.HazMat.B03,Alarm.HazMat
Medical Incident,5245,B03,13,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B03,Potentially Life-Threatening.Medical Incident
Marine Fire,3,B03,4,Fire,Fire.Marine Fire.B03,Fire.Marine Fire
Other,293,B09,33,Alarm,Alarm.Other.B09,Alarm.Other
Alarms,2112,B08,18,Alarm,Alarm.Alarms.B08,Alarm.Alarms
Vehicle Fire,219,B03,1,Fire,Fire.Vehicle Fire.B03,Fire.Vehicle Fire
Medical Incident,6,B04,8,Non Life-threatening,Non Life-threatening.Medical Incident.B04,Non Life-threatening.Medical Incident
Citizen Assist / Service Call,459,B02,7,Alarm,Alarm.Citizen Assist / Service Call.B02,Alarm.Citizen Assist / Service Call
Traffic Collision,28,B99,31,Potentially Life-Threatening,Potentially Life-Threatening.Traffic Collision.B99,Potentially Life-Threatening.Traffic Collision
Medical Incident,3,B06,43,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B06,Potentially Life-Threatening.Medical Incident
Vehicle Fire,10,B06,20,Fire,Fire.Vehicle Fire.B06,Fire.Vehicle Fire
